game,song_name,credit
Mother 3,Beyond the Sunshine Forest,Maelstrom
Mother 3,Cumbersome Guys,Don Valentino
Mother 3,F-F-Fire!,Don Valentino
Mother 3,Fate,Don Valentino
Mother 3,Forest of Flames,ThatHiddenCharacter
Mother 3,Gentle Rain,Don Valentino
Mother 3,"Letter From You, My Sweet",Don Valentino
Mother 3,Magypsy Party,Tranzlater
Mother 3,Memory of Life,Radiak488417
Mother 3,Mind of a Thief,seagaia
Mother 3,Monkey's Love Song,Don Valentino
Mother 3,Mother 3 Love Theme,Maelstrom
Mother 3,Murasaki Forest,Static
Mother 3,Open Sesame Oil! / Open Sesame Tofu!,Don Valentino
Mother 3,Rock 'n' Roll (Spicy),shadowkirby
Mother 3,Serious,Don Valentino
Mother 3,Shower Time Ballad,Don Valentino
Mother 3,Smashing Song of Praise,Maelstrom
Mother 3,"Somewhere, Someday",Don Valentino
Mother 3,Title Theme,shadowkirby
Mother 3,Unfounded Revenge,Maelstrom
Mother 3,Volcano! Inferno!,Francesca Minasi
Pokémon Emerald Version,Battle Pike,Latios212
Pokémon Emerald Version,Rayquaza Appears!,Th3Gavst3r
Pokémon FireRed Version & Pokémon LeafGreen Version,Ending Theme,JDMEK5
Pokémon FireRed Version & Pokémon LeafGreen Version,Pallet Town Theme,Bespinben
Pokémon Ruby Version & Pokémon Sapphire Version,Abandoned Ship,GreekGeek
Donkey Kong Country,Forest Frenzy,WiiMan96
Pokémon Ruby Version & Pokémon Sapphire Version,Battle Tower,Latios212
Pokémon Ruby Version & Pokémon Sapphire Version,Battle! (Brendan/May),Latios212
Pokémon Ruby Version & Pokémon Sapphire Version,Battle! (Elite Four),Echo
Pokémon Ruby Version & Pokémon Sapphire Version,Battle! (Regirock/Regice/Registeel),JDMEK5
Pokémon Ruby Version & Pokémon Sapphire Version,Battle! (Steven),Jompa
Pokémon Ruby Version & Pokémon Sapphire Version,Battle! (Super-Ancient Pokémon),Pianist Da Sootopolis
Pokémon Ruby Version & Pokémon Sapphire Version,Battle! (Trainer Battle),JDMEK5
Pokémon Ruby Version & Pokémon Sapphire Version,Battle! (Wild Pokémon),Nana1Popo2
Pokémon Ruby Version & Pokémon Sapphire Version,Crossing the Sea,DuskPiano
Pokémon Ruby Version & Pokémon Sapphire Version,Cycling (Four Hands),amc
Pokémon Ruby Version & Pokémon Sapphire Version,Dewford Town,Don Valentino
Pokémon Ruby Version & Pokémon Sapphire Version,Drought,Joel Hands-Otte
Pokémon Ruby Version & Pokémon Sapphire Version,Ending Theme,dahans
Pokémon Ruby Version & Pokémon Sapphire Version,Ever Grande City,Latios212
Pokémon Ruby Version & Pokémon Sapphire Version,Fallarbor Town,DrP
Harvest Moon 2 GBC,Spring,Code_Name_Geek
Infinity,Inconvenient Nuisances,Static
Kirby Tilt 'n' Tumble,Underground,LeviR.star
Mario Golf,Bogey,MoldyPond
Mario Golf,Caddie Master's Office,Stamen47
Mario Golf,Director's Room,Stamen47
Mario Golf,Intro,Stamen47
Mario Golf,Marion Clubhouse,Stamen47
Mario Golf,Playing Golf 1,Stamen47
Mario Golf,Playing Golf 2,Stamen47
Mario Tennis,Courtyard,Nine Lives
Mario Tennis,Dormitory,Nine Lives
Mario Tennis,Junior Class Match,Nine Lives
Mario Tennis,Menu,Nine Lives
Pokémon Card GB2: Here Comes Team GR!,Duel vs. Team GR,Olimar12345
Pokémon Ruby Version & Pokémon Sapphire Version,Fortree City,DrP
Pokémon Ruby Version & Pokémon Sapphire Version,Heavy Rain,DuskPiano
Pokémon Ruby Version & Pokémon Sapphire Version,Lilycove City,Latios212
Pokémon Ruby Version & Pokémon Sapphire Version,Littleroot Town,dajwxp
Pokémon Ruby Version & Pokémon Sapphire Version,Littleroot Town (Two Pianos),dahans
Pokémon Ruby Version & Pokémon Sapphire Version,Mt. Pyre,Latios212
Pokémon Ruby Version & Pokémon Sapphire Version,Mt. Pyre Exterior,Joel Hands-Otte
Pokémon Ruby Version & Pokémon Sapphire Version,Museum,DrP
Pokémon Ruby Version & Pokémon Sapphire Version,Oceanic Museum (Two Pianos),Latios212
Pokémon Ruby Version & Pokémon Sapphire Version,Oldale Town,Latios212
